"cname","party_name","lrgen","spendvtax","immigrate_policy"
"sle","NSI",7.8461537,78.18182,7.4444447
"fra","AC",6.5999999,61.999998,6.5
"fin","KD",6.2222223,55,6.1428571
"cro","HDZ",7.3333335,65.555553,7.1428571
"hun","Fidesz",7.9285712,56.363635,7.8333335
"bul","DBG",6.1333332,60.714288,4.5384617
"bel","VLD",7,83.999996,6.5999999
"bul","NFSB",6.8571429,40.833335,9.1333332
"fin","VAS",1.8888888,20,2.875
"pol","PiS",7.9411764,33.125,6.1999998
"fra","MPF",9.1000004,75.555553,9.5555553
"por","PP",8,63.333335,8
"den","SD",4.4000001,40.999999,5.5
"por","PS",4.5,38.333333,4
"pol","RP",2.5294118,42.142859,2.1666667
"net","SGP",8.1111107,63.333335,8.4285717
"tur","CHP",3.5999999,37.142856,4.5
"bul","GERB",6.5,65.714288,6.2666669
"bel","MR",7,80,6.1999998
"swi","CSP/PCS",1.3024702,41.666665,4.1666665
"fra","PS",3.8333333,38.181818,4.6999998
"spa","ICV",2.1111112,13.75,1.7
"fra","EELV",3.0833333,20,2.0999999
"den","DF",6.9000001,40,9.6999998
"uk","SNP",3,32,3.5999999
"spa","C's",5.5555553,51.25,6.25
"spa","UpyD",5.6666665,45.555553,5.25
"den","FolkB",2,35,1.5
"uk","LIBDEM",4.8571429,45,4.2857141
"net","SP",1,13.333334,4.375
"rom","PP-DD",4.3571429,47.5,7.1666665
"est","EER",5.75,45.714288,5.6666665
"swi","BDP",6.25,60,6.125
"slo","MH",6.2142859,60,5.3636365
"net","PvdD",2.8888888,27.5,2.3333333
"ger","FDP",6.5384617,73.636365,3.5999999
"sle","PS",3.3846154,48.000002,2.7777777
"spa","CC",6,55.714288,6.4444447
"gre","DIMAR",3.2222223,36.25,2.7777777
"fin","RKP/SFP",7.4444447,70,2.75
"cro","HL-SR",2,31.111112,3.8571429
"sle","SLS",6.4615383,60.999999,6.4444447
"lith","TS-LKD",7.6428571,48.461537,6.090909
"est","EVE",7.375,61.666665,5.5
"uk","CONS",7,81.428576,8
"gre","ND",7.2222223,55,8
"lux","GRENG",4,20,4
"gre","PASOK",4.7777777,42.5,4.3333335
"swi","FDP/PLR",6.875,66.25,6.25
"swi","GPS/PES",1.875,31.25,2.625
"swi","SP/PS",2.125,16.25,3.25
"net","GL",2.3333333,27.5,1.125
"net","50PLUS",5.25,33.333333,5
"lux","CSV",4.5,50,5
"ger","Linke",1.2307693,5,4
"tur","AKP",7.9000001,72.857141,2.8888888
"lith","LSDP",3.2,30,4.4545455
"por","BE",1.3333334,23.333333,0.80000001
"ger","Piraten",3.25,30,2.5
"nor","KrF",5.25,50,2.6666667
"cro","ORaH",2.4444444,47.777777,1.8333334
"slo","SNS",8.3571424,48.18182,9.3076925
"spa","EAJ/PNV",6.3000002,55.999999,6.4444447
"lux","DL",0.5,15,8.5
"pol","PO",5.7058825,58.235292,4
"bul","DSB",7.5625,74.666667,5.1538463
"bul","BSP",3.6875,30,6.1999998
"slo","Smer-SD",3.6923077,27.142856,6.4615383
"lith","LLRA",5.4615383,43.000002,6.1666665
"slo","KDH",6.9285712,53.571429,7.6153846
"aus","OVP",6.0999999,61.999998,6.1111112
"swe","C",7.2380953,66.842103,1.9444444
"bul","ATAKA",5.3571429,20.714285,9.375
"sle","SMC",5.25,50,3.5
"net","CU",5.4444447,46.666665,3.75
"spa","CiU",6.1999998,65,6.6666665
"est","ER",7.25,75,5.125
"spa","BNG",2.4444444,18.888888,2.4000001
"it","UDC",5.2857141,47.5,4.6666665
"sle","DeSUS",4.1538463,33.636363,4.5
"bel","CD&V",5.4000001,61.999998,5.4000001
"it","SVP",5,45,6
"lat",NA,8.3000002,56.25,8.7142859
"net","PVV",9.25,43.75,9.875
"slo","SaS",7.2857141,88.571424,4.5454545
"rom","PDL",6.647059,70,4.4285712
"uk","PLAID",3.25,30,3
"fra","NC",6.2727275,65.714288,6.6666665
"fra","PG",1.7,8.9999998,2.375
"it","VdA",4.8333335,35,6
"it","Fdl",7.8571429,47.5,8.75
"bel","SPA",3,28,3.4000001
"cro","HSLS",5.3333335,74.444447,4.2857141
"it","LN",8.8571424,70,9.5
"ger","Grunen",3.6153846,28.181818,2.090909
"bel","ECOLO",2.2,25.999999,1.8
"spa","PP",7.3000002,75.999999,8.1000004
"lith","LVZS",3.8666666,40.833335,6.5
"rom","PC",5.5294118,40.833335,5.1999998
"it","RC",0.2857143,6.0000002,1
"est","SDE",4.875,33.75,4.625
"net","D66",5.5555553,58.888888,2.125
"slo","Siet",7.0769229,69.09091,6
"swi","EVP/PEV",5.25,38,5.75
"fra","PRG",3.8181818,34.444444,4
"pol","PSL",5.2941175,37.647059,6.375
"uk","LAB",3.5714285,41.428571,5.4285712
"lith","DK",6.875,45.999999,5.25
"bul","DPS",4.6875,45,4.8333335
"gre","Potami",4.8888888,47.5,3.4444444
"cro","SDP",3.5555556,50,3.7142856
"cze","USVIT",7.6923075,40,9.3999996
"cyp","DIKO",6.25,70,5
"aus","BZO",7.8000002,70,8.666667
"uk","GREEN",1.8571428,15,2.1428571
"sle","ZaAB",4.1538463,55,2.7777777
"ger","AfD",8.9230766,78.888888,9.3000002
"ger","CSU",7.2307692,61.81818,7.4545455
"cze","KDU-CSL",5.9285712,49.000001,7
"spa","ERC",3.6666667,35,3.6666667
"rom","UDMR",6.1176472,58.18182,4.5999999
"nor","FrP",5.6666665,70,4.5
"ire","FF",5.875,57.142859,6
"bel","FDF",5.5999999,55.999999,4.4000001
"gre","ANEL",8.7777777,48.000002,9.1111107
"lith","DP",4.4000001,49.230771,4.3636365
"bel","N-VA",7.8000002,90,7.5999999
"bul","VMRO-BND",6.0769229,37.692308,9.4285717
"it","FI",6.7142859,78.000002,7.75
"it","PD",3.5714285,51.999998,3.25
"cze","TOP09",7.2142859,79.09091,5
"nor","V",6.75,36.666667,2.3333333
"sle","SD",3.1538463,31.818182,3.3333333
"lat","LRA",5.6666665,58.333335,6.25
"it","CD",5,56.666665,3.5
"bel","Groen",2.2,25.999999,2.2
"ire","SP",0.875,15.714285,5
"ger","SPD",3.7692308,34.545455,3.909091
"nor","Sp",4.5,56.666665,1.3333334
"it","SEL",1.2857143,12,1.25
"spa","EA",4.3333335,35.999999,5.8333335
"por","CDU",0.5,23.333333,2.5
"nor","MDG",2.25,25,2
"bul","BBT",6.0833335,41.666665,8.8000002
"cyp","EDEK",4.5,50,4
"swi","LdT",7.5,51.666665,8.375
"swi","GLP/PVL",5.25,62.5,3.8571429
"bel","cdH",4.4000001,51.999998,4.1999998
"cro","HSP-AS",9,61.666665,8.7142859
"spa","Amaiur",1.8888888,22.5,3.3333333
"spa","PSOE",3.8,25,3.5999999
"bul","ABV",3.4666667,30.666666,6.4615383
"den","RV",5.6999998,60.999999,2.5999999
"it","NCD",6.1428571,68.000002,7.5
"cze","ODS",8,81.81818,7.875
"fra","UMP",7.6666665,70.90909,7.5999999
"sle","SDS",8.6923075,79.09091,7.8000002
"cyp","EVROKO",8.5,80,6
"ire","GP",3.75,32.857144,4.1666665
"pol","KNP",9.5294113,95.294113,8.3999996
"swe","SD",7.7619047,47.058825,9.7777777
"bel","PVDA",0.40000001,2,1.8
"rom","PMP",6.4705882,70.666666,4.5999999
"den","KF",7,75,7.0999999
"spa","Podemos",1.6666666,11.428572,1.4
"cze","ANO2011",5.7857141,59.09091,5.8571429
"nor","AP",3.75,53.333335,5
"swe","MP",3.2857144,29.473684,0.55555558
"cze","KSCM",1.0714285,10.909091,6.6666665
"fin","VIHR",4.4444447,48.75,1.375
"cro","HSS",7.1111112,51.25,8
"swe","KD",7.4761906,62.105265,2.6111112
"lat","NSL",5.1428571,58.000002,6.25
"swe","FI",1.8095238,10,0.47058824
"den","SF",2.9000001,20.999999,2.8
"fin","SDP",4,36.25,4.125
"cyp","KOP",4.6666665,50,4
"rom","PLR",6.6666665,60.90909,4
"pol","SP",8.2941179,34.666667,7.4444447
"gre","XA",9.8888893,20,10
"swe","M",7.4285712,68.421054,2.6111112
"lat","SDPS",4,50,4.7142859
"lat","ZZS",5.9000001,58.571429,6.2857141
"fra","FN",9.636364,55,9.8000002
"aus","NEOS",6,74.444447,4
"ire","PBPA",0.71428573,15,5
"cyp","DISY",8.5,70,7
"den","EL",1.2,6.0000002,1.6
"fin","KOK",7.6666665,77.5,5.125
"fin","PS",5.1111112,43.75,9
"cze","SVOBODNI",8.7142859,95,7.625
"fra","MODEM",5.909091,66.666665,6.3333335
"lux","DP",7.5,20,4
"tur","HDP",2,34.285715,2.6666667
"por","PSD",6.6666665,71.666665,6.8000002
"lux","LSAP",4.5,20,5
"uk","UKIP",9.1428576,88.33333,10
"rom","PNL",6.647059,62.666669,4.1428571
"por","MPT",6.75,43.333335,7
"slo","SDKU-DS",6.8571429,72.142859,5.181818
"aus","SPO",3.9000001,25.999999,4.4444447
"swe","V",1.7142857,3.1578946,0.55555558
"est","IRL",7.75,76.25,6.5
"hun","JOBBIK",9.7142859,43.000002,9.333333
"hun","E14",3.6428571,51.81818,2.5555556
"rom","UNPR",3.4285715,36.666667,5.5999999
"cze","SZ",3.8571429,45,1.3333334
"hun","MSZP",3.4285715,37.272727,4.4545455
"ire","SF",2.125,21.428571,5.1999998
"net","PvdA",3.6666667,41.111112,4.125
"slo","SMK-MKP",6.7692308,48.333335,5
"net","CDA",6.7777777,66.666665,6.5
"slo","NOVA",7.0714288,73.333335,6.6999998
"cyp","AKEL",2,20,3
"mal","PL",5.25,42.5,7
"aus","FPO",8.6999998,55.999999,9.8888893
"mal","PN",6.25,47.5,2.3333333
"nor","H",7.25,66.666665,6.6666665
"ger","NPD",10,48.000002,9
"fra","Ens",2.5,23.75,4.8333335
"lux","ADR",7,70,3
"gre","KKE",0.66666669,8.75,2.8333333
"cze","CSSD",3.1428571,26.363637,4.3333335
"swi","SVP/UDC",8.25,81.25,8.625
"bel","PS",2.5999999,24.000001,2.8
"pol","SLD",2.7647059,30.588236,3.3333333
"spa","IU",2,10,1.6
"swe","FP",7.0476189,64.210525,2.1666667
"nor","SV",1.5,30,3
"aus","GRUNE",3,25,1.6666666
"den","LA",7.9000001,93.33333,4.0999999
"ire","FG",6.625,65.714288,6.1666665
"lith","TT",6.6153846,45.454545,6.4545455
"fra","PCF",1.75,9.0909094,3.5999999
"fra","PRV",6.1428571,63.333335,6.4000001
"ger","DieTier",2.5166116,20,4
"aus","TeamStronach",7.5999999,82.222223,7.3333335
"den","V",7,74.000001,7.6999998
"lith","LRLS",7.3333335,82.307692,3.7272727
"fin","KESK",5.5555553,57.5,5.625
"ire","Lab",4.125,41.428571,5.1666665
"ger","CDU",5.9230771,57.272725,5.7272725
"swi","EDU/UDF",8.5,55,7.625
"bel","VB",9.1999998,51.999998,9.6000004
"rom","PSD",4.1176472,36.666667,4.7142859
"slo","OLaNO",6.5,68.333335,7.3636365
"cro","HDSSB",8.4444447,51.666665,7.5
"lat","V",6.9000001,57.5,5.2857141
"sle","ZL",1,19,1.2222222
"hun","DK",3.3571429,54.545455,2.8
"it","SC",5.4285712,80,5
"swe","PIRAT",5,51.666665,1.5
"bul","SDS",7.1333332,70,5.1538463
"pol","PR",7.647059,63.75,5.625
"tur","MHP",8.6000004,55.714288,7
"cro","IDS",3.3333333,55.714288,3
"bel","PP",7.75,70,8.5
"hun","LMP",4.2857141,38.181818,3
"swi","CVP/PVC",5.5,53.75,6.125
"it","M5S",4.6666665,40,4.25
"lat","LKS",3.25,38,4.25
"swe","SAP",3.7619047,26.315789,2.3333333
"cro","HNS",4,65.555553,3
"net","VVD",7.8888888,77.777777,7.5
"gre","SYRIZA",2,17.5,2.2222223
"cro","HSP",9.25,58.000002,8.666667
"est","EK",4.25,30,5
"gre","LAOS",8.666667,57.142859,9.333333
